"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","76394.20","0.341","0.088","0.335","0.439","0.663","2.391"
"PING_MBULK","74349.44","0.349","0.104","0.343","0.455","0.623","3.087"
"SET","77639.75","0.335","0.080","0.327","0.423","0.551","3.079"
"GET","73475.39","0.353","0.080","0.343","0.471","0.631","3.551"
"INCR","75757.57","0.342","0.120","0.335","0.439","0.551","2.511"
"LPUSH","76804.91","0.337","0.096","0.327","0.431","0.567","3.135"
"RPUSH","76863.95","0.338","0.080","0.327","0.431","0.543","2.455"
"LPOP","76628.36","0.339","0.112","0.327","0.431","0.591","2.687"
"RPOP","75642.96","0.344","0.088","0.335","0.439","0.591","3.607"
"SADD","65231.57","0.399","0.096","0.375","0.591","0.831","3.495"
"HSET","71123.76","0.367","0.112","0.351","0.495","0.679","2.959"
"SPOP","74074.07","0.349","0.152","0.335","0.455","0.623","3.591"
"ZADD","74962.52","0.348","0.112","0.335","0.455","0.591","6.383"
"ZPOPMIN","71994.23","0.360","0.096","0.351","0.487","0.687","2.575"
"LPUSH (needed to benchmark LRANGE)","72833.21","0.359","0.104","0.343","0.503","0.711","2.095"
"LRANGE_100 (first 100 elements)","39494.47","0.647","0.192","0.631","0.847","1.079","3.375"
"LRANGE_300 (first 300 elements)","16920.47","1.482","0.296","1.463","1.927","2.263","4.319"
"LRANGE_500 (first 500 elements)","11713.72","2.130","0.408","2.071","2.831","3.439","9.655"
"LRANGE_600 (first 600 elements)","10833.06","2.298","0.432","2.271","2.847","3.247","6.015"
"MSET (10 keys)","84459.46","0.319","0.096","0.311","0.407","0.583","2.663"
"XADD","81433.22","0.323","0.104","0.311","0.415","0.519","2.503"
