"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","757575.75","0.364","0.112","0.351","0.511","0.663","1.367"
"PING_MBULK","746268.62","0.356","0.120","0.351","0.463","0.567","0.751"
"SET","769230.81","0.372","0.136","0.359","0.503","0.631","1.423"
"GET","746268.62","0.365","0.176","0.351","0.479","0.799","1.983"
"INCR","840336.12","0.331","0.120","0.319","0.439","0.567","1.783"
"LPUSH","884955.75","0.359","0.112","0.327","0.543","0.735","2.143"
"RPUSH","884955.75","0.337","0.192","0.319","0.471","0.583","1.215"
"LPOP","833333.38","0.390","0.144","0.351","0.623","1.103","2.295"
"RPOP","862069.00","0.363","0.160","0.335","0.559","0.871","1.255"
"SADD","819672.12","0.349","0.128","0.327","0.471","0.703","2.279"
"HSET","833333.38","0.350","0.104","0.327","0.511","0.695","1.407"
"SPOP","833333.38","0.329","0.120","0.319","0.415","0.623","2.079"
"ZADD","854700.88","0.370","0.112","0.327","0.567","1.151","2.367"
"ZPOPMIN","793650.75","0.341","0.112","0.327","0.447","0.623","1.551"
"LPUSH (needed to benchmark LRANGE)","813008.12","0.384","0.168","0.351","0.583","0.871","2.047"
"LRANGE_100 (first 100 elements)","86580.09","2.905","0.896","2.863","3.687","4.231","7.239"
"LRANGE_300 (first 300 elements)","29095.14","7.461","0.632","7.311","10.295","13.063","20.287"
"LRANGE_500 (first 500 elements)","17860.33","11.147","0.592","10.567","19.135","22.783","27.967"
"LRANGE_600 (first 600 elements)","15092.06","11.219","0.872","10.839","19.311","24.271","29.103"
"MSET (10 keys)","409836.06","1.097","0.320","1.103","1.399","1.543","2.095"
"XADD","621118.00","0.678","0.240","0.655","0.983","1.191","1.671"
