"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","740740.69","0.374","0.176","0.335","0.567","1.151","4.471"
"PING_MBULK","684931.50","0.409","0.184","0.367","0.551","1.431","7.855"
"SET","598802.44","0.460","0.168","0.431","0.679","0.911","8.447"
"GET","645161.31","0.432","0.184","0.407","0.559","0.759","7.423"
"INCR","684931.50","0.442","0.248","0.399","0.631","1.135","5.367"
"LPUSH","645161.31","0.633","0.304","0.559","1.079","1.551","5.687"
"RPUSH","621118.00","0.656","0.288","0.575","1.055","1.527","12.703"
"LPOP","735294.06","0.405","0.168","0.383","0.551","1.023","3.799"
"RPOP","740740.69","0.384","0.200","0.359","0.479","0.783","5.855"
"SADD","740740.69","0.408","0.136","0.359","0.567","1.463","9.567"
"HSET","666666.62","0.619","0.280","0.559","0.991","1.215","13.647"
"SPOP","645161.31","0.425","0.216","0.399","0.599","1.031","5.911"
"ZADD","523560.22","0.835","0.312","0.775","1.407","1.807","5.295"
"ZPOPMIN","675675.69","0.415","0.152","0.367","0.583","1.359","10.591"
"LPUSH (needed to benchmark LRANGE)","613496.94","0.667","0.304","0.591","1.087","2.103","10.943"
"LRANGE_100 (first 100 elements)","43327.55","5.898","0.720","5.695","7.591","16.207","22.975"
"LRANGE_300 (first 300 elements)","14688.60","15.736","0.912","15.079","24.959","31.807","43.999"
"LRANGE_500 (first 500 elements)","12802.46","15.580","1.240","14.343","26.383","36.159","56.607"
"LRANGE_600 (first 600 elements)","10326.31","18.025","2.248","16.927","31.823","40.799","57.183"
"MSET (10 keys)","374531.84","1.271","0.336","1.215","1.791","2.079","16.863"
"XADD","657894.75","0.429","0.176","0.391","0.599","1.135","4.727"
